metal log(age) E_BV dm
0.00300 9.45250 0.35987 13.00314
0.00300 9.45250 0.36011 13.00277
0.00300 9.45250 0.35977 13.00354
0.00300 9.45250 0.35977 13.00354
0.00300 9.45250 0.36003 13.00302
0.00700 9.48250 0.30250 13.24486
0.00700 9.48250 0.29782 13.25702
0.00700 9.48250 0.30508 13.23809
0.00300 9.45250 0.36118 13.00087
0.00300 9.45250 0.36118 13.00087
0.00300 9.45250 0.36118 13.00087
0.00300 9.45250 0.36118 13.00087
0.00300 9.45250 0.36118 13.00087
0.00300 9.45250 0.36118 13.00087
0.00300 9.45250 0.36118 13.00087
0.00300 9.45250 0.36118 13.00087
0.00300 9.45250 0.36118 13.00020
0.00300 9.45250 0.36118 13.00020
0.00300 9.45250 0.36118 13.00020
0.00300 9.45250 0.36118 13.00020
0.00300 9.45250 0.36118 13.00020
0.00300 9.45250 0.36070 13.00138
0.00300 9.45250 0.36070 13.00138
0.00300 9.45250 0.36070 13.00138
0.00300 9.45250 0.36070 13.00138
0.00300 9.45250 0.36070 13.00138
0.00300 9.45250 0.36070 13.00138
0.00300 9.45250 0.36070 13.00138
0.00300 9.45250 0.36058 13.00138
0.00300 9.45250 0.36144 13.00022
0.00300 9.45250 0.36144 13.00022
0.00300 9.45250 0.36144 13.00022
0.00300 9.45250 0.36144 13.00022
0.00300 9.45250 0.36144 13.00022
0.00700 9.48250 0.29783 13.25643
0.00700 9.48250 0.30155 13.24739
0.00700 9.48250 0.30046 13.25014
0.00700 9.48250 0.30414 13.24025
0.00700 9.48250 0.29696 13.25846
0.00700 9.48250 0.30266 13.24402
0.00700 9.48250 0.29418 13.26646
0.00700 9.48250 0.30232 13.24468
0.00700 9.48250 0.30134 13.24809
0.00700 9.48250 0.30165 13.24668
0.00700 9.48250 0.30119 13.24837
0.00300 9.45250 0.36160 13.00019
0.00300 9.45250 0.36160 13.00019
0.00300 9.45250 0.36151 13.00021
0.00300 9.45250 0.36151 13.00021
0.00300 9.45250 0.36151 13.00021
0.00300 9.45250 0.36122 13.00104
0.00300 9.45250 0.36122 13.00104
0.00300 9.45250 0.36122 13.00104
0.00700 9.48250 0.29780 13.25630
0.00300 9.45250 0.36101 13.00091
0.00300 9.45250 0.36111 13.00075
0.00700 9.48250 0.30618 13.23574
0.00700 9.48250 0.30467 13.23910
0.00700 9.48250 0.30511 13.23781
0.00700 9.48250 0.30312 13.24261
0.00700 9.48250 0.30443 13.23949
0.00700 9.48250 0.30039 13.24974
0.00700 9.48250 0.29977 13.25212
0.00700 9.48250 0.29916 13.25288
0.00700 9.48250 0.29985 13.25159
0.00700 9.48250 0.30076 13.24956
0.00700 9.48250 0.30341 13.24191
0.00700 9.48250 0.30341 13.24191
0.00700 9.48250 0.30340 13.24231
0.00700 9.48250 0.30340 13.24231
0.00300 9.45250 0.36111 13.00075
0.00300 9.45250 0.36111 13.00075
0.00300 9.45250 0.36111 13.00075
0.00300 9.45250 0.36111 13.00075
0.00700 9.48250 0.29836 13.25538
0.00700 9.48250 0.29904 13.25343
0.00700 9.48250 0.30744 13.23162
0.00700 9.48250 0.30091 13.24860
0.00700 9.48250 0.29841 13.25523
0.00700 9.48250 0.30346 13.24207
0.00700 9.48250 0.30540 13.23694
0.00700 9.48250 0.30030 13.24992
0.00700 9.48250 0.29954 13.25241
0.00700 9.48250 0.29850 13.25550
0.00700 9.48250 0.30430 13.23979
0.00700 9.48250 0.30002 13.25117
0.00300 9.45250 0.36183 13.00012
0.00300 9.45250 0.36183 13.00012
0.00700 9.48250 0.29786 13.25671
0.00700 9.48250 0.29962 13.25164
0.00700 9.48250 0.29911 13.25378
0.00700 9.48250 0.30333 13.24287
0.00700 9.48250 0.30402 13.24050
0.00700 9.48250 0.30234 13.24463
0.00700 9.48250 0.29948 13.25206
0.00700 9.48250 0.30181 13.24693
0.00700 9.48250 0.30440 13.23938
0.00700 9.48250 0.30246 13.24478
0.00700 9.48250 0.29685 13.25894
0.00700 9.48250 0.29215 13.27111
0.00700 9.48250 0.30304 13.24375
0.00700 9.48250 0.29823 13.25515
0.00700 9.48250 0.29695 13.25889
0.00700 9.48250 0.30702 13.05438
0.00700 9.48250 0.29901 13.25316
0.00700 9.48250 0.31257 13.04096
0.00700 9.48250 0.31257 13.04096
0.00700 9.48250 0.29917 13.25362
0.00700 9.48250 0.30025 13.16594
0.00300 9.45250 0.36073 13.00118
0.00300 9.45250 0.36073 13.00118
0.00300 9.45250 0.36073 13.00118
0.00300 9.45250 0.36073 13.00118
0.00700 9.48250 0.29742 13.25781
0.00700 9.48250 0.29513 13.26324
0.00700 9.48250 0.29859 13.25463
0.00700 9.48250 0.29734 13.25738
0.00700 9.48250 0.29989 13.25113
0.00700 9.48250 0.30503 13.23773
0.00700 9.48250 0.29989 13.25113
0.00700 9.48250 0.30177 13.24656
0.00700 9.48250 0.29948 13.25222
0.00700 9.48250 0.30329 13.24251
0.00700 9.48250 0.30432 13.23948
0.00700 9.48250 0.29801 13.25626
0.00700 9.48250 0.29734 13.25801
0.00700 9.48250 0.30102 13.24826
0.00700 9.48250 0.29838 13.25575
0.00700 9.48250 0.29935 13.25238
0.00700 9.48250 0.29306 13.26846
0.00700 9.48250 0.29733 13.25749
0.00700 9.48250 0.30390 13.24068
0.00700 9.48250 0.30232 13.24467
0.00700 9.48250 0.29897 13.25320
0.00700 9.48250 0.29895 13.25335
0.00300 9.45250 0.36098 13.00033
0.00300 9.45250 0.36105 13.00047
0.00300 9.45250 0.36105 13.00047
0.00300 9.45250 0.36105 13.00047
0.00300 9.45250 0.36105 13.00047
0.00300 9.45250 0.36102 13.00040
0.00300 9.45250 0.36102 13.00040
0.00300 9.45250 0.36104 13.00040
0.00300 9.45250 0.36104 13.00040
0.00300 9.45250 0.36104 13.00040
0.00300 9.45250 0.36104 13.00040
0.00300 9.45250 0.36104 13.00040
0.00700 9.48250 0.30116 13.24766
0.00700 9.48250 0.29686 13.25886
0.00700 9.48250 0.29737 13.25738
0.00700 9.48250 0.29737 13.25738
0.00700 9.48250 0.30250 13.24486
0.00700 9.48250 0.29491 13.26399
0.00700 9.48250 0.30177 13.24648
0.00700 9.48250 0.29727 13.25824
0.00700 9.48250 0.31056 13.13961
0.00700 9.48250 0.30114 13.24794
0.00700 9.48250 0.29725 13.25827
0.00700 9.48250 0.30139 13.24766
0.00300 9.45250 0.36073 13.00107
0.00300 9.45250 0.36073 13.00107
0.00300 9.45250 0.36073 13.00107
0.00300 9.45250 0.36073 13.00107
0.00300 9.45250 0.36073 13.00107
0.00300 9.45250 0.36073 13.00107
0.00300 9.45250 0.36073 13.00107
0.00300 9.45250 0.36073 13.00107
0.00700 9.48250 0.30214 13.24609
0.00700 9.48250 0.29889 13.25344
0.00700 9.48250 0.29889 13.25344
0.00700 9.48250 0.30281 13.24390
0.00700 9.48250 0.30626 13.23545
0.00700 9.48250 0.30353 13.15750
0.00700 9.48250 0.30058 13.24985
0.00700 9.48250 0.29819 13.25540
0.00700 9.48250 0.29705 13.25902
0.00700 9.48250 0.29825 13.25552
0.00300 9.45250 0.36176 13.00006
0.00700 9.48250 0.29595 13.26208
0.00700 9.48250 0.29731 13.25800
0.00700 9.48250 0.29925 13.25311
0.00700 9.48250 0.29720 13.25792
0.00700 9.48250 0.29786 13.25693
0.00700 9.48250 0.29697 13.25903
0.00700 9.48250 0.29697 13.25903
0.00700 9.48250 0.30065 13.24938
0.00700 9.48250 0.30039 13.24994
0.00700 9.48250 0.29560 13.26220
0.00700 9.48250 0.29259 13.26966
0.00300 9.45250 0.36048 13.00204
0.00300 9.45250 0.36048 13.00204
0.00300 9.45250 0.36048 13.00204
0.00300 9.45250 0.36048 13.00204
0.00300 9.45250 0.36048 13.00204
0.00300 9.45250 0.36162 13.00057
0.00700 9.48250 0.29742 13.25810
0.00700 9.48250 0.30481 13.23868
0.00700 9.48250 0.29917 13.25354
0.00700 9.48250 0.29875 13.25446
0.00700 9.48250 0.29875 13.25446
0.00700 9.48250 0.31011 13.22507
0.00700 9.48250 0.29815 13.25593
0.00700 9.48250 0.29899 13.25338
0.00700 9.48250 0.30292 13.24314
0.00700 9.48250 0.29759 13.25760
0.00700 9.48250 0.30330 13.24240
0.00700 9.48250 0.30370 13.24121
0.00700 9.48250 0.30614 13.23522
0.00700 9.48250 0.30439 13.23955
0.00700 9.48250 0.30741 13.23167
0.00700 9.48250 0.30328 13.24224
0.00300 9.45250 0.36126 13.00067
0.00300 9.45250 0.36126 13.00067
0.00300 9.45250 0.36129 13.00053
0.00700 9.48250 0.30572 13.23624
0.00700 9.48250 0.29716 13.25846
0.00700 9.48250 0.30410 13.24018
0.00300 9.45250 0.36162 13.00057
0.00300 9.45250 0.36163 13.00052
0.00300 9.45250 0.36163 13.00052
0.00300 9.45250 0.36163 13.00052
0.00300 9.45250 0.36163 13.00052
0.00300 9.45250 0.36163 13.00052
0.00300 9.45250 0.36163 13.00052
0.00300 9.45250 0.36163 13.00052
0.00300 9.45250 0.36163 13.00052
0.00300 9.45250 0.36163 13.00052
0.00300 9.45250 0.36171 13.00019
0.00700 9.48250 0.30237 13.24521
0.00700 9.48250 0.30047 13.24994
0.00700 9.48250 0.30415 13.24022
0.00700 9.48250 0.29732 13.25855
0.00700 9.48250 0.29835 13.25558
0.00700 9.48250 0.29835 13.25558
0.00700 9.48250 0.30415 13.24022
0.00700 9.48250 0.29541 13.26273
0.00700 9.48250 0.30053 13.25023
0.00700 9.48250 0.29817 13.25573
0.00700 9.48250 0.29908 13.25303
0.00700 9.48250 0.29779 13.25683
0.00700 9.48250 0.30064 13.24929
0.00700 9.48250 0.29588 13.26193
0.00700 9.48250 0.29812 13.25580
0.00700 9.48250 0.29920 13.25373
0.00700 9.48250 0.29920 13.25373
0.00700 9.48250 0.30464 13.23896
0.00300 9.45250 0.36085 13.00104
0.00300 9.45250 0.36085 13.00104
0.00300 9.45250 0.36085 13.00104
0.00300 9.45250 0.36085 13.00104
0.00300 9.45250 0.36085 13.00104
